trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
155,False,"{'a': 0.5, 'e': 0.21059844619672852}",20,5,-16.72760669328621,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
156,False,"{'a': 0.5, 'e': 0.20849246173476124}",25,6,8.923756051312827,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.2064075371174136}",20,11,-32.6982890638781,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
158,False,"{'a': 0.5, 'e': 0.2043434617462395}",20,15,8.823350712126437,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.2023000271287771}",20,9,-21.792605405705274,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
160,False,"{'a': 0.5, 'e': 0.2002770268574893}",30,15,-24.178587017719764,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
161,False,"{'a': 0.5, 'e': 0.19827425658891443}",25,11,15.425924192250209,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.19629151402302528}",25,11,23.859096660470932,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.19432859888279502}",20,0,-18.019991764536687,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
164,False,"{'a': 0.5, 'e': 0.19238531289396707}",35,0,-47.52884762640684,"{0: 30, 1: 1, 2: 1, 3: 2, 4: 1}",0
165,False,"{'a': 0.5, 'e': 0.1904614597650274}",20,16,6.6883684472788,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.1885568451673771}",25,11,-18.32715067912194,"{0: 12, 1: 0, 2: 0, 3: 2, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.18667127671570335}",25,18,14.618873295990252,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.1848045639485463}",25,17,5.021079208600139,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
